track_name,artist
Over, lindsay lohan
2005-05-07
True, ryan cabrera
Lumingon ka lang, sarah geronimo
Love moves in mysterious ways, nina
From the start, rachelle ann go
klsp, sponge cola
Akap, imago
Broken sonnet, hale
Over, lindsay lohan
Girl, destiny's child
It's like that, mariah carey
2005-10-11
Kahit pa, hale
Especially for you, mymp
I need you, mark bautista
I will never leave you, erik santos
Gemini, sponge cola
Helena, my chemical romance
Sorry, cueshé
Love can't lie, sarah geronimo,
Shake it off, mariah carey
You're beautiful, james blunt
2006-01-31
You win the game, mark bautista
Ulan, cueshé
Kung wala ka, hale
If you walk away, rachelle ann go
Una, sponge cola
Everything you do, christian bautista
I still..., backstreet boys
Narda, kamikazee
Stickwitu, the pussycat dolls
Check on it, Beyoncé
2006-02-10
If you walk away, rachelle ann go
Ulan, cueshé
You win the game, mark bautista
Narda, kamikazee
Everything you do, christian bautista
I, 6cyclemind
I'll never get over you getting over me, mymp
Stickwitu, the pussycat dolls
Check on it, Beyoncé
L.o.v.e., ashlee simpson
2006-06-22
241, rivermaya
Jeepney, kala
I care, Rachelle Ann Go
Wait forever, gary valenciano
Buttons, the pussycat dolls
Jeepney, sponge cola
Walang kadala dala, sandwich
Dahil ikaw, true faith
Pwede ba, soapdish
The ordertaker, parokya ni edgar
2006-07-25
Blue sky, hale
Martyr nyebera, kamikazee
Ain't No Other Man, christina aguilera
Stars are blind, paris hilton
Dale candela, gerald anderson
I promise, stacie orrico
Walang kadala dala, sandwich
Stars, callalily
I still believe in loving you, sarah geronimo
Unfaithful, rihanna
2006-10-26
Bakit, rachelle ann go
Bitiw, sponge cola
Waltz, hale
Doo bidoo, kamikazee
She could be, christian bautista
I don't need a man, the pussycat dolls
Isang bandila, rivermaya
Taralets, imago
London bridge, fergie
Ring the alarm, Beyoncé
2006-11-27
Carry my love, sarah geronimo
Bitiw, sponge cola
Isang bandila, rivermaya
Waltz, hale
Your love, erik santos
Take my hand, callalily
Welcome to the black parade, my chemical romance
Pintura, kjwan
Hurt, christina aguilera
Nothing in this world, paris hilton
2007-02-17
Prinsesa, 6cyclemind
Famous last words, my chemical romance
With you, mymp
Trying to get the feeling again, christian bautista
Just so you know, jesse mccartney
I'm coming, rain
7 black roses, chicosci
Magbalik, callalily
Say you'll never go, erik santos
Don't say goodbye, rachelle ann go
2007-03-27
Magbalik, callalily
Tuliro, sponge cola
Sunburn, sandwich
Inosente lang ang nagtataka, rivermaya
Sundo, imago
Girlfriend, avril lavigne
Tatsulok, bamboo
I don't love you, my chemical romance
Love team, the itchyworms
Don't say goodbye, rachelle ann go
2007-07-28
Pasan, callalily
Alam ng ating mga puso, rachelle ann go
Tuloy pa rin, sponge cola
Upside down, 6cyclemind
Teenagers, my chemical romance
Radio, amber davis
Tadhana, moonstar88
Crazy love, kim chiu
Love is all I need, yasmien kurdi
Probinsyana, bamboo
2007-08-20
Dinamayan, 6cyclemind
Movie, sponge cola
wag ka nang umiyak, sugarfree
I'll be alright, sarah geronimo
Probinsyana, bamboo
The ballad of, hale
Crazy love, kim chiu
Teenagers, my chemical romance
Love is all I need, yasmien kurdi
Pasan, callalily
2007-09-24
Sanctuary, callalily
Movie, sponge cola
Dinamayan, 6cyclemind
Wag ka nang umiyak, sugarfree
Never let her slip away, the bloomfields
Jenny, the click five
You are the music in me, high school musical 2
Crazy love, kim chiu
Even if, sam concepcion
I'll be alright, sarah geronimo
2007-10-30
Jenny, the click five
Magsasaya, 6cyclemind
Sanctuary, callalily
Movie, sponge cola
Gimme more, britney spears
Sala, pupil
Ikaw, sarah geronimo
Gotta go my own way, nikki gil
Love will lead you back, kyla
Director's cut, kamikazee
2007-11-30
Ikaw, sarah geronimo
Love will lead you back, Kyla
Jenny, the click five
So perfect, mymp
Sanctuary, callalily
Your guardian angel, the red jumpsuit apparatus
Hot, avril lavigne
Sigaw, slapshock
Somewhere down the road, nina
Gimme more, britney spears
2007-12-28
Ikaw, sarah geronimo
Guillotine, urbandub
Happy birthday, the click five
So perfect, mymp
Is it over, jaya
Kumusta ka, blue ketchup
Your guardian angel, the red jumpsuit apparatus
Ngayong pasko, erik santos
Pasko na sinta ko, christian bautista
Love will lead you back, kyla
2008-01-28
Nangangawit, sugarfree
Pasubali, sponge cola
Piece of me, britney spears
Happy birthday, the click five
Heto na, concrete sam
Last look, chicosci
Your guardian angel, the red jumpsuit apparatus
Ikaw, sarah geronimo
Macho, parokya ni edgar
S.o.s., jonas brothers
2008-02-28
Procrastinator, sandwich
Pasubali, sponge cola
Last look, chicosci
S.o.s., jonas brothers
Dead!, my chemical romance
Aaminin, 6cyclemind
Happy birthday, the click five
Piece of me, britney spears
Just once, jaya
Monobloc, pupil
2008-03-21
Susundan, callalily
Pasubali, sponge cola
Just once, jaya
Empty, the click five
Migraine, moonstar88
When you look me in the eyes, jonas brothers
Bleeding love, leona lewis
Aaminin, 6cyclemind
Evidence, urbandub
Procrastinator, sandwich
2008-04-23
Ang sarap dito, project 1
Migraine, moonstar88
Aaminin, 6cyclemind
When you look me in the eyes, jonas brothers
Empty, the click five
Susundan, callalily
Under repair, imago
No air, jordin sparks
Touch my body, mariah carey
How do I live, Jennylyn Mercado
2008-05-28
Betamax, sandwich
Pitong araw, hale
When you look me in the eyes, jonas brothers
Empty, the click five
No air, jordin sparks & chris brown
Honesty, rachelle ann go
Hear my heart, nikki gil
Realize, colbie caillat
Susundan, callalily
4 minutes, madonna
2008-06-27
Bye bye, mariah carey
Ang pusa mo, pedicab
When you look me in the eyes, jonas brothers
That's what you get, paramore
Pitong araw, hale
Betamax, sandwich
Hear my heart, nikki gil
Forever, chris brown
Beat it, fall out boy
Take a bow, rihanna
2008-07-17
A very special love, sarah geronimo
Bye bye, mariah carey
Saludo, 6cyclemind
Ang pusa mo, pedicab
Sleep, rivermaya
Pitong araw, hale
That's what you get, paramore
Hear my heart, nikki gil
Take a bow, rihanna
Betamax, sandwich
2008-08-06
A very special love, sarah geronimo
Saludo, 6cyclemind
The one who won my heart, christian bautista
Ang pusa mo, pedicab
Bye bye, mariah carey
Sleep, rivermaya
When I grow up, the pussycat dolls
One step at a time, jordin sparks
Take a bow, rihanna
Penge naman ako n'yan, the itchyworms
2008-09-05
7 things, miley cyrus
Saludo, 6cyclemind
Burnin' up, jonas brothers
Leap of faith, hale
The one who won my heart, christian bautista
The search is over, rachelle ann go
The fight is over, urbandub
Disturbia, rihanna
When I grow up, the pussycat dolls
Leave out all the rest, linkin park
2008-10-08
Now, mymp
Puso, sponge cola
Kailan, bamboo
Yugto, rico blanco
This is me, demi lovato
Leap of faith, hale
Thunder, boys like girls
7 things, miley cyrus
Fall for you, secondhand serenade
The fight is over, urbandub
2008-11-17
Crush, david archuleta
Kailan, bamboo
Womanizer, britney spears
Just stand up!, artists stand up to cancer
Decode, paramore
Puso, sponge cola
Disconnection notice, pupil
Now, mymp
Thunder, boys like girls
Fall for you, secondhand serenade
2008-12-24
Crush, david archuleta
Decode, paramore
Light on, david cook
Fx, pedicab
Disconnection notice, pupil
Lovebug, jonas brothers
Your universe, rico blanco
Gusto na kita, 6cyclemind
Tell me that you love me, regine velasquez
Womanizer, britney spears
2009-01-23
Circus, britney spears
Di na mababawi, sponge cola
Fx, pedicab
Decode, paramore
Light on, david cook
A little too not over you, david archuleta
Your universe, rico blanco
Mad, ne-yo
Single Ladies (Put a Ring on It), Beyoncé
I stay in love, mariah carey
2009-02-24
You changed my life in a moment, sarah geronimo
Tonight, jonas brothers
A little too not over you, david archuleta
Heart to heart, kyla
Love story, taylor swift
Hintay, callalily
Circus, britney spears
Di na mababawi, sponge cola
Senti, moonstar88
Poker face, lady gaga
2009-03-24
Love story, taylor swift
Hintay, callalily
Sandali na lang, hale
I caught myself, paramore
Thinking of you, katy perry
You changed my life in a moment, sarah geronimo
Tonight, jonas brothers
My life would suck without you, kelly clarkson
Halo, Beyoncé
Desolation row, my chemical romance
2009-04-24
Love story, taylor swift
The climb, miley cyrus
If u seek amy, britney spears
Antukin, rico blanco
Radical, hilera
I caught myself, paramore
Sandali na lang, hale
Jai ho! (you are my destiny), A.R. Rahman
Your call, secondhand serenade
Thinking of you, katy perry
2009-05-22
Back in time, kyla
The climb, miley cyrus
Come back to me, david cook
Lovegame, lady gaga
If u seek amy, britney spears
Love story, taylor swift
Antukin, rico blanco
Sandali na lang, hale
Wala, kamikazee
Know your enemy, green day
2009-06-24
Touch my hand, david archuleta
Fire, 2ne1
Walang iwanan, 6cyclemind
Ayt!, sponge cola
White horse, taylor swift
Paranoid, jonas brothers
Come back to me, david cook
The climb, miley cyrus
Back in time, kyla
Know your enemy, green day
2009-07-24
Touch my hand, david archuleta
Fire, 2ne1
White horse, taylor swift
Ayt!, sponge cola
Nobody, wonder girls
21 guns, green day
How do you sleep?, jesse mccartney
Paranoid, jonas brothers
Waking up in vegas, katy perry
New divide, linkin park
2009-08-24
Dahil minahal mo ako, sarah geronimo
Bahay kubo, hale
You belong with me, taylor swift
Paparazzi, lady gaga
Here we go again, demi lovato
Touch my hand, david archuleta
Radar, britney spears
21 guns, green day
Already gone, kelly clarkson
Hiling, silent sanctuary
2009-09-24
One time, justin bieber
You belong with me, taylor swift
Bahay kubo, hale
Dahil minahal mo ako, sarah geronimo
I don't care, 2ne1
Fly with me, jonas brothers
Diamond shotgun, chicosci
Ignorance, paramore
Misis fely nimfa ang pangalan, the itchyworms
Here we go again, demi lovato
2009-10-23
너라고 It's You, super junior
One time, justin bieber
Party in the u.s.a., miley cyrus
Tell me your name, christian bautista
Diamond shotgun, chicosci
Kasalanan, 6cyclemind
Genie, girls' generation
Fly with me, jonas brothers
Ignorance, paramore
Higante, francism
2009-11-24
Automatic, tokio hotel
One time, justin bieber
Fifteen, taylor swift
Party in the u.s.a., miley cyrus
Time for miracles, adam lambert
Fireflies, owl city
Genie, girls' generation
Your christmas girl, sarah geronimo
Bad romance, lady gaga
Down, jay sean
2009-12-24
One less lonely girl, justin bieber
Bad romance, lady gaga
Nananaginip, callalily
Putik, sandwich
Fireflies, owl city
Automatic, tokio hotel
Fifteen, taylor swift
Blue tomorrow, super junior-m
3, britney spears
Party in the u.s.a., miley cyrus
2010-01-22
Cariño Brutal, slapshock
Putik, sandwich
Blue tomorrow, super junior-m
"쏘리 쏘리 Sorry, Sorry", super junior
Bad romance, lady gaga
One less lonely girl, justin bieber
Nananaginip, callalily
For your entertainment, adam lambert
Heartbeat, 2pm
Tik tok, kesha
2010-02-24
Oh!, girls' generation
"쏘리 쏘리 Sorry, Sorry", super junior
Makapiling ka, sponge cola
Right here waiting, sarah geronimo
World behind my wall, tokio hotel
Live like we're dying, kris allen
Beautiful girl, christian bautista
For your entertainment, adam lambert
Baby, justin bieber
Who I am, nick jonas & the administration
2010-03-24
Baby, justin bieber
Telephone, lady gaga
Oh!, girls' generation
"쏘리 쏘리 Sorry, Sorry", super junior
The only exception, paramore
World behind my wall, tokio hotel
Whataya want from me, adam lambert
빙글빙글, u-kiss
Alice, avril lavigne
When I look at you, miley cyrus
2010-04-23
Run devil run, girls' generation
Baby, justin bieber
빙글빙글, u-kiss
follow me, 2ne1
Pyramid, charice
Fearless, taylor swift
Telephone, lady gaga
Vanilla twilight, owl city
When I look at you, miley cyrus
Please be careful with my heart, christian bautista
2010-05-24
Pyramid, charice
Eenie meenie, sean kingston
Never let you go, justin bieber
Run devil run,girls' generation
빙글빙글, u-kiss
Fearless, taylor swift
Please be careful with my heart, christian bautista
Baby, justin bieber
Love like this, ss501
Picture picture, tanya markova
2010-06-24
미인아 Bonamana, super junior
Kung wala na nga, 6cyclemind
Gabay, callalily
Di lang ikaw, juris
Afraid for love to fade, christian bautista
Never say never, justin bieber
Never let you go, justin bieber
Pyramid, charice
Billionaire, travie mccoy
Can't be tamed, miley cyrus
2010-07-23
Kung wala na nga, 6cyclemind
If I had you, adam lambert
Alejandro, lady gaga
너 같은 사람 또 없어 No Other, super junior
Never say never, justin bieber
Magkaibang mundo, hale
Airplanes, b.o.b
Afraid for love to fade, christian bautista
California gurls, katy perry
Somebody to love Remix, justin bieber
2010-08-24
Somebody to love remix, justin bieber
너 같은 사람 또 없어 No Other, super junior
Love the way you lie, eminem
You lost me, christina aguilera
If I had you, adam lambert
Afraid for love to fade, christian bautista
Magkaibang mundo, hale
Darkside of the sun, tokio hotel
Opposites attract, juris
Bata, bbs
2010-09-24
Mine, taylor swift
Something 'bout love, david archuleta
Just the way you are, bruno mars
Jeepney love story, yeng constantino
I remember the girl, christian bautista
Disney, tanya markova
Teenage dream, katy perry
Love the way you lie, eminem
Lakad, sandwich
Lucifer, shinee
2010-10-22
Lakad, sandwich
Just the way you are, bruno mars
Pakiusap Lang (Lasingin Nyo Ako), parokya ni edgar
Something 'bout love, david archuleta
A year without rain, selena gomez & the scene
Love me, justin bieber
Mine, taylor swift
breath, beast
Magic, b.o.b
Kung wala ka, nikki gil
2010-11-23
U smile, justin bieber
What's your poison?, chicosci
Lakad, sandwich
Pakiusap Lang (Lasingin Nyo Ako), parokya ni edgar
Nakaraang pasko, christian bautista
Something 'bout love, david archuleta
Just a dream, nelly
Na Na Na (Na Na Na Na Na Na Na Na Na), my chemical romance
Like a g6, far east movement
Hello, shinee
2010-12-20
Firework, katy perry
Go away, 2ne1
You don't know, regine velasquez
Nakaraang pasko, christian bautista
Pray, justin bieber
Reset, charice
U smile, justin bieber
liwanag, callalily
Beautiful, beast
Shake, jesse mccartney
2011-01-24
Firework, katy perry
Sino nga ba siya, sarah geronimo
Hoot, girls' generation
Pray, justin bieber
Hurricanes and suns, tokio hotel
Hanging habagat, champ lui pio
Grenade, bruno mars
Wag na, yeng constantino
Mahal Kita ('Di Mo Pansin), kyla
Walang natira, gloc 9
2011-02-24
Hold it against me, britney spears
Walang natira, gloc 9
Back to december, taylor swift
Sino nga ba siya, sarah geronimo
Wag na, yeng constantino
Grenade, bruno mars
High high, gd&top
What the hell, avril lavigne
Sing, my chemical romance
Linda blair, tanya markova
2011-03-24
Fallin', sarah geronimo
Hold it against me, britney spears
Born this way, lady gaga
Don't tie me down, kyla
What the hell, avril lavigne
Tambay, sponge cola
Back to december, taylor swift
Tonight, bigbang
Wag na, yeng constantino
On the floor, jennifer lopez
2011-04-22
That should be me (remix), justin bieber
Who says, selena gomez & The Scene
Till the world ends, britney spears
E.t., katy perry
Pera pera, sandwich
Don't tie me down, kyla
Tambay, sponge cola
Intuition, cnblue
Tnt, pupil
Hey daydreamer, somedaydream
2011-05-24
Hey daydreamer, somedaydream
Wala na tayo, bbs
The lazy song, bruno mars
The story of us, taylor swift
Judas, lady gaga
That should be me (remix), justin bieber
Omg, karylle
Pera pera, sandwich
Pangarap lang kita, parokya ni edgar
Rolling in the deep, adele
2011-06-24
Pangarap lang kita, parokya ni edgar
The story of us, taylor swift
Love moves in mysterious ways, christian bautista
Wala na tayo, bbs
Last Friday night (T.G.I.F.), katy perry
The last goodbye, david cook
The edge of glory, lady gaga
Kung siya ang mahal, sarah geronimo
Wag mo na munang sabihin, sitti
Fiction, beast
2011-07-22
I wanna go, britney spears
Next to you, chris brown
태완미 (太完美 Perfection), super junior
I'm already king, christian bautista
Siguro, yeng constantino
I am the best, 2ne1
Pawiin, bbs
Regal, sponge cola
The edge of glory, lady gaga
Last Friday night (t.g.i.f.), katy perry
2011-08-24
20/20, pupil
Moves like jagger, maroon 5
Gaano ko ikaw kamahal, the itchyworms
Pawiin, bbs
I'm already king, christian bautista
Mean, taylor swift
Ugly, 2ne1
Mr. simple, super junior
Yoü and I, lady gaga
Fire, solenn
2011-09-23
Mr. simple, super junior
Delivery boys, somedaydream
Sparks fly, taylor swift
Lighters, bad meets evil
Skyscraper, demi lovato
Yoü and I, lady gaga
Muli, ebe dancel
Sari-saring kwento, champ lui pio
Jet lag, simple plan
Forever young, sam concepcion
2011-10-24
Ako na lang, zia quizon
Kay tagal kitang hinintay, sponge cola
Forever young, sam concepcion
Jet lag, simple plan
A-cha, super junior
Delivery boys, somedaydream
Masasabi mo ba, rachelle ann go
Louder, charice
Hindi kita iiwan, sam milby
Wish you were here, avril lavigne
2011-11-24
One hit combo, parokya ni edgar
The boys, girls' generation
All that's left, christian bautista
Halik, kamikazee
Questions, bamboo
What makes you beautiful, one direction
Mistletoe, justin bieber
Forever young, sam concepcion
Ako na lang, zia quizon
Louder, charice
2011-12-22
Habang buhay, bbs
Ngayon na, slapshock
Superman, super junior
What makes you beautiful, one direction
Halik, kamikazee
Ours, taylor swift
Unbelievable, chicosci
One hit combo, parokya ni edgar
The boys, girls' generation
Basically, karylle
2012-01-24
One thing, one direction
Ours, taylor swift
Wait, david archuleta
"Oppa, oppa", donghae
Bakit pa ba?, sarah geronimo
Hold on 'til the night, greyson chance
Stargazer, sponge cola
Ngayon na, slapshock
Marry the night, lady gaga
Pag-ibig, yeng constantino
2012-02-24
Bakit pa ba?, sarah geronimo
One thing, one direction
Pag-ibig, yeng constantino
"Oppa, oppa", donghae
Wait, david archuleta
12:51, krissy & ericka
Alive, never the strangers
Stargazer, sponge cola
Tagpuan, kamikazee
Safe & sound, taylor swift
2012-03-21
Safe & sound, taylor swift
Blue, bigbang
Moving closer, never the strangers
12:51, krissy & ericka
In love with you, christian bautista
Better than I know myself, adam lambert
Tuloy, sarah geronimo
Lego house, ed sheeran
One thing, one direction
Dear lonely, zia quizon
2012-04-24
Forevermore, david archuleta
Sherlock (Clue + Note), shinee
Part of me, katy perry
Moving closer, never the strangers
Whispered fear, rachelle ann go
Fantastic baby, bigbang
Tuloy, sarah geronimo
Safe & sound, taylor swift
Give your heart a break, demi lovato
12:51, krissy & ericka
2012-05-24
Boyfriend, justin bieber
Payphone, maroon 5
Gotta be you, one direction
Forevermore, david archuleta
Hey you, cnblue
Whispered fear, rachelle ann go
Sherlock (Clue + Note), shinee
Give your heart a break, demi lovato
Bakit mahal pa rin kita, erik santos
Starships, nicki minaj
2012-06-22
Twinkle, girls' generation-tts
More than this, one direction
Monster, bigbang
Boyfriend, justin bieber
Payphone, maroon 5
Ikot ng mundo, bamboo
Basta ako, 6cyclemind
Forevermore, david archuleta
Bakit mahal pa rin kita, erik santos
Hey hey alodia, segatron
2012-07-24
"Sexy, free & single", super junior
I love you, 2ne1
Minsan, callalily
Huling sayaw, kamikazee
Langit, slapshock
More than this, one direction
I'll never go, david archuleta
Sige lang, quest
Wide awake, katy perry
Both of us, b.o.b
2012-08-24
Sirena, gloc 9
Bagsakan (live), parokya ni edgar
I'll be there, julie anne san jose
Sige lang, quest
As long as you love me, justin bieber
Huling sayaw, kamikazee
"Sexy, free & single", super junior
Sandata, wolfgang
I love you, 2ne1
Good time, owl city
2012-09-24
Live while we're young, one direction
We are never ever getting back together, taylor swift
Xgf, sponge cola
Sirena, gloc 9
Anak, sarah geronimo
Bagsakan (live), parokya ni edgar
Sige lang, quest
Spy, super junior
I'll be there, julie anne san jose
Tao lang, loonie
2012-10-24
Pasasalamat, callalily
Live while we're young, one direction
Beauty and a beat, justin bieber
Tao lang, loonie
Prinsesa, daniel padilla
Your name, young jv
Enough, julie anne san jose
Gangnam Style (강남스타일), psy
Catch me, tvxq!
Paalam, silent sanctuary
2012-11-19
Little things, one direction
Enough, julie anne san jose
Gayuma, abra
Pasasalamat, callalily
Begin again, taylor swift
Everybody hurts, david archuleta
Catch me, tvxq!
Dazzling girl, shinee
Bakit hindi, gloc 9
Ikaw lang, kimpoy feliciano
2012-12-19
Gayuma, abra
All my love is for you, girls' generation
Little things, one direction
Dazzling girl, shinee
Enough, julie anne san jose
Begin again, taylor swift
Sunshine & city lights, greyson chance
Burado, rico blanco
Reverend's daughter, typecast
Diamonds, rihanna
2013-01-24
I got a boy, girls' generation
Kiss you, one direction
Rainbow, david archuleta
Raspberry: Girl, chicosci
Gayuma, abra
Burado, rico blanco
babay, yeng constantino
Bago mahuli ang lahat, never the strangers
Wo-oh, kamikazee
I knew you were trouble., taylor swift
2013-02-22
Nasa iyo na ang lahat, daniel padilla
Kiss you, one direction
I'm sorry, cnblue
I got a boy, girls' generation
Babay, yeng constantino
Kahit na, toni gonzaga
Raspberry: girl, chicosci
Hindi mo nadinig, gloc 9
Buko, jireh lim
In this life, bamboo
2013-03-22
One Way or Another (Teenage Kicks), one direction
I'm sorry, cnblue
It takes a man and a woman, sarah geronimo
22, taylor swift
Hkm, callalily
Dream girl, shinee
Mr. kupido, myrtle sarrosa
Nasa iyo na ang lahat, daniel padilla
Now, paramore
Hindi mo nadinig, gloc 9
2013-04-24
Heart attack, demi lovato
All around the world, justin bieber
One way or another (teenage kicks), one direction
22, taylor swift
Learn to love again, lawson
Pom poms, jonas brothers
Still into you, paramore
Hkm, callalily
It takes a man and a woman, sarah geronimo
tonight, jessica sanchez
2013-05-24
Heart attack, demi lovato
22, taylor swift
All around the world, justin bieber
Pom poms, jonas brothers
Carousel, bamboo
Come & get it, selena gomez
Why so serious?, shinee
Right next to me, kimpoy feliciano
Here's to never growing up, avril lavigne
One way or another (teenage kicks), one direction
2013-06-24
Wolf, exo
Everything has changed, taylor swift
Chinito, yeng constantino
Here's to never growing up, avril lavigne
Why so serious?, shinee
Brokenhearted, lawson
Carousel, bamboo
Love somebody, maroon 5
Lipat bahay, rico blanco
Heart attack, demi lovato
2013-07-24
We can't stop, miley cyrus
Wolf, exo
Trap, henry
Discolamon, banda ni kleggy
Everything has changed, taylor swift
I like that, before you exit
Heartbreak girl, 5 seconds of summer
Bumalik ka na sa'kin, silent sanctuary
Made in the usa, demi lovato
Gilid, moonstar88
2013-08-23
Growl, exo
Best song ever, one direction
Made in the usa, demi lovato
Red, taylor swift
No limitations, sam concepcion
Tamis, kamikazee
Gilid, moonstar88
Saludo, quest
Ilusyon, abra
Sandata, yeng constantino
2013-09-24
Wrecking ball, miley cyrus
Roar, katy perry
Applause, lady gaga
Pansamantala, callalily
OHA - Kaya Mo Ba 'To?, enrique gil
Growl, exo
Best song ever, one direction
Rock n roll, avril lavigne
Help me get over, jonalyn viray
Mahal na mahal, sam concepcion
2013-10-24
Ikot-ikot, sarah geronimo
Hero, super junior
Work bitch, britney spears
Roar, katy perry
Everybody, shinee
Pansamantala, callalily
Luna, up dharma down
Applause, lady gaga
Juliet, lawson
Stop stop!, gracenote
2013-11-22
Ikot-ikot, sarah geronimo
Story of my life, one direction
Ang parokya, parokya ni edgar
Magda, gloc 9
Everybody, shinee
Let Me Go, avril lavigne
Royals, lorde
Roar, katy perry
Work bitch, britney spears
Let it go, demi lovato
2013-12-24
Miracles in december, exo
Ang parokya, parokya ni edgar
Kailangan kita, sponge cola
All that matters, justin bieber
Story of my life, one direction
Tayo, sarah geronimo
Neon lights, demi lovato
Unconditionally, katy perry
Let me go, avril lavigne
Ikot-ikot, sarah geronimo
2014-01-24
Tayo, sarah geronimo
아직도 난 (Still you), donghae & eunhyuk
Unshakable, slapshock
Bawal sa gamot, banda ni kleggy
Perfume, britney spears
Midas, abra
Xo, Beyoncé
Neon lights, demi lovato,
The monster, eminem
Who you love, john mayer
2014-02-24
Midnight memories, one direction
Ain't it fun, paramore
Tayo, sarah geronimo
Dark horse, katy perry
Anting-anting, sponge cola
Bawal sa gamot, banda ni kleggy
Kiss you, karylle
Confident, justin bieber
Paraan, mayonnaise
Unshakable, slapshock
2014-03-24
Come back home, 2ne1
Mr.mr., girls' generation
Do the moves, sarah geronimo
Kislap, kamikazee
She looks so perfect, 5 seconds of summer
Midnight memories, one direction
Dark horse, katy perry
Drunk in love, Beyoncé
Kiss you, karylle
Ain't it fun, paramore
2014-04-24
Takip silim, gloc 9
Come back home, 2ne1
No erase, james reid
Mr.mr., girls' generation
Last night, the vamps
She looks so perfect, 5 seconds of summer
Singapore Sling (Dahil Kilala Na Kita), sponge cola
You & I, one direction
G.u.y., lady gaga
Do the moves, sarah geronimo
2014-05-22
Overdose, exo-k
You & I, one direction
Maybe this time, sarah geronimo
Come back home, 2ne1
Hello kitty, avril lavigne
Takip silim, gloc 9
SWING - Korean Version, super junior-m
Dangerous, before you exit
Night owls, slapshock
Birthday, katy perry
2014-06-24
Don't stop, 5 seconds of summer
Overdose, exo-k
Right where you belong, julie anne san jose
Gotta be you, 2ne1
Kunwa kunwari lang, kyla
Problem, ariana grande
You & I, one direction
pag napagod na ang puso, erik santos
Walang-wala, banda ni kleggy
Somebody to you, the vamps
2014-07-24
+63, sponge cola
Kunwa kunwari lang, kyla
Somebody to you, the vamps
Really don't care, demi lovato
Don't stop, 5 seconds of summer
Right where you belong, julie anne san jose
Overdose, exo-k
Kapiling kita, karylle
Gotta be you, 2ne1
Sa'yo, silent sanctuary
2014-08-22
Amnesia, 5 seconds of summer
This love is like, toni gonzaga
Bahala na, james reid
Dito na lang, kyla
Superheroes, the script
Break free, ariana grande
Shake it off, taylor swift
This is how we do, katy perry
Really don't care, demi lovato
+63, sponge cola
2014-09-24
Shake it off, taylor swift
Simpleng tulad mo, daniel padilla
Bahala na, james reid
Ikaw, yeng constantino
Halikana, maja
Oh cecilia (breaking my heart), the vamps
Amnesia, 5 seconds of summer
This love is like, toni gonzaga
Mahal kita pero, janella salvador
Superheroes, the script
2014-10-24
Shake it off, taylor swift
Good girls,5 seconds of summer
Businessman, gloc 9
Awit ni ginny, toni gonzaga
Thinking out loud, ed sheeran
Oh cecilia (breaking my heart), the vamps
Last hope, paramore
Jacuzzi, tanya markova
Simpleng tulad mo, daniel padilla
Mahal ko o mahal ako, kz tandingan
2014-11-24
Blank space, taylor swift
Steal my girl, one direction
Dedma, julie anne san jose
The heart wants what it wants, selena gomez
Good girls, 5 seconds of summer
Love me harder, ariana grande
Thinking out loud, ed sheeran
Businessman, gloc 9
Pangarap na bituin, lyca gairanod
